rel_path,kind,number,h1,word_count
media/008_Диагностика. Эксперт__final.md,media,8,008_Диагностика. Эксперт,335
media/015_Подготовка круп__final.md,media,15,015_Подготовка круп,11
media/018_Беременным и кормящим__final.md,media,18,018_Беременным и кормящим,115
media/020_Фрукты и ягоды__final.md,media,20,020_Фрукты и ягоды,83
media/022_Кориандр__final.md,media,22,022_Кориандр,141
media/024_Кумин__final.md,media,24,024_Кумин,108
media/029_Асафетида__final.md,media,29,029_Асафетида,169
media/031_Амла__final.md,media,31,031_Амла,253
media/033_Трикату__final.md,media,33,033_Трикату,250
media/035_Льняное масло__final.md,media,35,035_Льняное масло,201
media/037_Кокосовое молоко__final.md,media,37,037_Кокосовое молоко,65
media/040_Зачем нам нужны паразиты__final.md,media,40,040_Зачем нам нужны паразиты,95
media/041_Процессы гниения__final.md,media,41,041_Процессы гниения,98
media/043_Эмоции. Светлана Кусова__final.md,media,43,043_Эмоции. Светлана Кусова,475
media/044_Стресс__final.md,media,44,044_Стресс,150
media/046_Важно видеть ситуацию цельно__final.md,media,46,046_Важно видеть ситуацию цельно,201
media/050_Знание - наше всё__final.md,media,50,050_Знание - наше всё,147
media/052_Новые понятия и знания помогают изучать себя__final.md,media,52,052_Новые понятия и знания помогают изучать себя,333
media/061_Дисбаланс Вата Доши__final.md,media,61,061_Дисбаланс Вата Доши,233
media/062_Если чувствуете слабость__final.md,media,62,062_Если чувствуете слабость,187
media/063_Пищевая непереносимость яиц__final.md,media,63,063_Пищевая непереносимость яиц,346
media/064_Прогревание__final.md,media,64,064_Прогревание,429
media/066_Ваше истинное состояние__final.md,media,66,066_Ваше истинное состояние,246
media/067_Частый стул__final.md,media,67,067_Частый стул,75
media/068_Аюрведа для жизни__final.md,media,68,068_Аюрведа для жизни,269
media/078_Действовать оптимально__final.md,media,78,078_Действовать оптимально,97
media/080_Питаться дробно и жидко__final.md,media,80,080_Питаться дробно и жидко,45
media/081_Эфир о специях. Светлана Кусова__final.md,media,81,081_Эфир о специях. Светлана Кусова,1596
media/086_Когда есть фрукты__final.md,media,86,086_Когда есть фрукты,381
media/092_Ради чего вы здесь__final.md,media,92,092_Ради чего вы здесь,490
media/101_Эфир о продуктах. Эксперт. Эксперт__final.md,media,101,101_Эфир о продуктах. Эксперт. Эксперт,841
media/103_Побочные эффекты. Эксперт__final.md,media,103,103_Побочные эффекты. Эксперт,381
media/104_Психосоматика. Капли Баха__final.md,media,104,104_Психосоматика. Капли Баха,1748
media/109_Подводим итоги__final.md,media,109,109_Подводим итоги,70
ocr/004_Диагностика. Язык__final.md,ocr,4,004_Диагностика. Язык,23
ocr/007_Диагностика. Кишечник__final.md,ocr,7,007_Диагностика. Кишечник,59
ocr/016_Преимущества монодиеты__final.md,ocr,16,016_Преимущества монодиеты,173
ocr/017_Когда хорошо уходить в монодиету__final.md,ocr,17,017_Когда хорошо уходить в монодиету,114
ocr/045_Факторы стресса__final.md,ocr,45,045_Факторы стресса,71
ocr/048_АТФ__final.md,ocr,48,048_АТФ,89
ocr/049_Иммунитет__final.md,ocr,49,049_Иммунитет,109
pdf/001_Что вас ждет__final.md,pdf,1,001_Что вас ждет,1010
pdf/002_Опросник. Определение типа конституции__final.md,pdf,2,002_Опросник. Определение типа конституции,1512
pdf/003_Диагностика. Язык__final.md,pdf,3,003_Диагностика. Язык,588
pdf/005_Диагностика. Красные флаги__final.md,pdf,5,005_Диагностика. Красные флаги,402
pdf/006_Диагностика. Кишечник__final.md,pdf,6,006_Диагностика. Кишечник,611
pdf/009_Диагностика. Обезвоживание__final.md,pdf,9,009_Диагностика. Обезвоживание,460
pdf/010_Диагностика. Режим сна и бодрствования__final.md,pdf,10,010_Диагностика. Режим сна и бодрствования,217
pdf/011_Рис. Эксперт__final.md,pdf,11,011_Рис. Эксперт,117
pdf/012_Кухонные гаджеты - помошники в жизни__final.md,pdf,12,012_Кухонные гаджеты - помошники в жизни,61
pdf/013_Полезные рекомендации__final.md,pdf,13,013_Полезные рекомендации,106
pdf/014_Побочные эффекты__final.md,pdf,14,014_Побочные эффекты,262
pdf/019_Питательность диеты__final.md,pdf,19,019_Питательность диеты,176
pdf/021_Кориандр__final.md,pdf,21,021_Кориандр,37
pdf/023_Кумин__final.md,pdf,23,023_Кумин,30
pdf/025_Фенхель__final.md,pdf,25,025_Фенхель,114
pdf/026_Битые огурцы. Рецепт__final.md,pdf,26,026_Битые огурцы. Рецепт,159
pdf/027_Суп с битыми огурцами. Рецепт__final.md,pdf,27,027_Суп с битыми огурцами. Рецепт,120
pdf/028_Асафетида__final.md,pdf,28,028_Асафетида,176
pdf/030_Амла__final.md,pdf,30,030_Амла,169
pdf/032_Трикату__final.md,pdf,32,032_Трикату,139
pdf/034_Льняное масло__final.md,pdf,34,034_Льняное масло,194
pdf/036_С чем пить кофе__final.md,pdf,36,036_С чем пить кофе,41
pdf/038_Трифала__final.md,pdf,38,038_Трифала,438
pdf/039_Манджишта__final.md,pdf,39,039_Манджишта,280
pdf/042_Эмоции__final.md,pdf,42,042_Эмоции,190
pdf/047_Еда - источник энергии__final.md,pdf,47,047_Еда - источник энергии,99
pdf/051_Сезонность__final.md,pdf,51,051_Сезонность,228
pdf/053_Набор качеств или свойств__final.md,pdf,53,053_Набор качеств или свойств,136
pdf/054_Доша__final.md,pdf,54,054_Доша,193
pdf/055_Лето - Пита__final.md,pdf,55,055_Лето - Пита,275
pdf/056_Зима - Вата__final.md,pdf,56,056_Зима - Вата,312
pdf/057_Весна - Капха__final.md,pdf,57,057_Весна - Капха,314
pdf/058_Где брать рецепты__final.md,pdf,58,058_Где брать рецепты,171
pdf/059_Интоксикация. Головная боль__final.md,pdf,59,059_Интоксикация. Головная боль,304
pdf/060_Кофеклизма__final.md,pdf,60,060_Кофеклизма,367
pdf/065_Касторовое масло__final.md,pdf,65,065_Касторовое масло,237
pdf/069_Дуальные типы__final.md,pdf,69,069_Дуальные типы,143
pdf/070_Изучать себя__final.md,pdf,70,070_Изучать себя,205
pdf/071_Продукты для Вата-Пита_ Пита-Вата__final.md,pdf,71,071_Продукты для Вата-Пита_ Пита-Вата,262
pdf/072_Мы разные__final.md,pdf,72,072_Мы разные,235
pdf/073_Отличие рационов Ваты и Питы__final.md,pdf,73,073_Отличие рационов Ваты и Питы,143
pdf/074_Питание для Вата доша__final.md,pdf,74,074_Питание для Вата доша,146
pdf/075_Питание для Пита доша__final.md,pdf,75,075_Питание для Пита доша,121
pdf/076_Питание Капха доша__final.md,pdf,76,076_Питание Капха доша,229
pdf/077_Межсезонье__final.md,pdf,77,077_Межсезонье,180
pdf/079_Питаться дробно и жидко__final.md,pdf,79,079_Питаться дробно и жидко,83
pdf/082_Рекомендации магазинов специй__final.md,pdf,82,082_Рекомендации магазинов специй,54
pdf/083_Рекомендации по состоянию на ЭД__final.md,pdf,83,083_Рекомендации по состоянию на ЭД,508
pdf/084_Масло Кширабала Тайла__final.md,pdf,84,084_Масло Кширабала Тайла,241
pdf/085_Аскетичное питание__final.md,pdf,85,085_Аскетичное питание,529
pdf/087_Завтрак__final.md,pdf,87,087_Завтрак,294
pdf/088_Фрукты__final.md,pdf,88,088_Фрукты,407
pdf/089_Овощи__final.md,pdf,89,089_Овощи,245
pdf/090_Маш__final.md,pdf,90,090_Маш,93
pdf/091_Ради чего вы здесь__final.md,pdf,91,091_Ради чего вы здесь,109
pdf/093_Как долго соблюдать монодиету__final.md,pdf,93,093_Как долго соблюдать монодиету,182
pdf/094_Рацион зимой__final.md,pdf,94,094_Рацион зимой,255
pdf/095_Топленое сливочное масло или масло гхи__final.md,pdf,95,095_Топленое сливочное масло или масло гхи,203
pdf/096_График приема пищи__final.md,pdf,96,096_График приема пищи,451
pdf/097_Кандидоз__final.md,pdf,97,097_Кандидоз,70
pdf/098_Рекомендации для тех_ кто в дефиците__final.md,pdf,98,098_Рекомендации для тех_ кто в дефиците,458
pdf/099_Пшеница__final.md,pdf,99,099_Пшеница,246
pdf/100_Боль и болезнь - это благо__final.md,pdf,100,100_Боль и болезнь - это благо,898
pdf/102_Побочные эффекты. Эксперт__final.md,pdf,102,102_Побочные эффекты. Эксперт,114
pdf/105_Перекусы__final.md,pdf,105,105_Перекусы,92
pdf/106_Пшено__final.md,pdf,106,106_Пшено,126
pdf/107_Вода__final.md,pdf,107,107_Вода,128
pdf/108_Слизь в носоглотке__final.md,pdf,108,108_Слизь в носоглотке,220
